,RTI_A,VRTI_A   ,RTI_B,VRTI_B,,,,,RTI_A_values,VRTI_A_values,RTI_B_values,VRTI_B_values
Scores from 1 to 5,1,2,2,2,,,,1,2,0,3,3
,1,2,3,3,,,,2,6,9,5,11
,2,2,2,2,,,,3,8,8,7,3
,2,2,2,2,,,,4,4,2,4,2
,2,2,2,2,,,,5,1,0,,
,2,2,2,2,,,,,,,,
,2,2,3,2,,,,,,,,
,2,2,4,3,,,,,,,,
,3,2,1,1,,,,,,,,
,3,3,1,1,,,,,,,,
,3,3,3,2,,,,,,,,
,3,3,3,2,,,,,,,,
,3,3,3,2,,,,,,,,
,3,3,3,2,,,,,,,,
,3,3,3,2,,,,,,,,
,4,3,4,3,,,,,,,,
,4,3,4,4,,,,,,,,
,4,4,1,1,,,,,,,,
,5,4,4,4,,,,,,,,
,4,,4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
